CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.11962,6.8E-4,0.0897,0.0146,-0.0146,Lustig-Yaeger et al. 2023,0.02995,0.00235,-0.00255,Calculated,0.0813,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.1203,6.8E-4,0.0801,0.0145,-0.0145,Lustig-Yaeger et al. 2023,0.0283,0.00246,-0.00269,Calculated,0.0768,0.007,-0.007,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12098,6.8E-4,0.0759,0.0143,-0.0143,Lustig-Yaeger et al. 2023,0.02755,0.00248,-0.00273,Calculated,0.0748,0.0071,-0.0071,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12165,6.8E-4,0.1067,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03266,0.00213,-0.00228,Calculated,0.0887,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12233,6.8E-4,0.1003,0.0138,-0.0138,Lustig-Yaeger et al. 2023,0.03167,0.00211,-0.00226,Calculated,0.086,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.123,6.8E-4,0.0991,0.0138,-0.0138,Lustig-Yaeger et al. 2023,0.03148,0.00212,-0.00227,Calculated,0.0854,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12368,6.8E-4,0.1109,0.0138,-0.0138,Lustig-Yaeger et al. 2023,0.0333,0.00201,-0.00214,Calculated,0.0904,0.0056,-0.0056,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12435,6.8E-4,0.1318,0.014,-0.014,Lustig-Yaeger et al. 2023,0.0363,0.00188,-0.00198,Calculated,0.0985,0.0053,-0.0053,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12503,6.8E-4,0.0966,0.014,-0.014,Lustig-Yaeger et al. 2023,0.03108,0.00218,-0.00234,Calculated,0.0844,0.0061,-0.0061,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.1257,6.8E-4,0.0848,0.014,-0.014,Lustig-Yaeger et al. 2023,0.02912,0.00231,-0.00251,Calculated,0.079,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12638,6.8E-4,0.1021,0.014,-0.014,Lustig-Yaeger et al. 2023,0.03195,0.00212,-0.00227,Calculated,0.0867,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12705,6.8E-4,0.1255,0.0136,-0.0136,Lustig-Yaeger et al. 2023,0.03543,0.00187,-0.00197,Calculated,0.0961,0.0052,-0.0052,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12773,6.8E-4,0.1106,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03326,0.00207,-0.00221,Calculated,0.0903,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.12841,6.8E-4,0.0897,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.02995,0.00227,-0.00245,Calculated,0.0813,0.0064,-0.0064,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
