171 1840.487117 1.239E-31 3.943E-03.01900.020 4820.53970.50-.002800              2              1                    P 20      452623 4 3 2 1 0 1   468.0  492.0
171 1841.937489 1.285E-38 1.744E-01.05240.081 8606.47890.50-.004500              5              4                    P  5      364624 4 3 2 1 0 1   108.0  132.0
171 1842.519143 2.710E-47 1.522E+00.01900.03513429.30550.50-.002800              7              6                    R 15      222623 4 3 2 1 0 1   396.0  372.0
171 1844.263634 5.582E-53 2.810E+00.01900.01116368.15380.50-.002800              7              6                    R 28      222623 4 3 2 1 0 1   708.0  684.0
171 1845.872590 1.334E-47 1.606E+00.01900.03013597.46780.50-.002800              7              6                    R 16      222623 4 3 2 1 0 1   420.0  396.0
171 1847.557778 4.678E-42 4.353E-01.06340.08410370.77410.50-.002600              6              5                    R  2      424624 4 3 2 1 0 1    84.0   60.0
171 1847.601815 2.025E-52 2.697E+00.01900.01116086.72940.50-.002800              7              6                    R 27      222623 4 3 2 1 0 1   684.0  660.0
171 1848.726609 6.234E-48 1.693E+00.01900.02713775.65450.50-.002800              7              6                    R 17      222623 4 3 2 1 0 1   444.0  420.0
171 1850.313019 7.032E-52 2.586E+00.01900.01115814.05660.50-.002800              7              6                    R 26      222623 4 3 2 1 0 1   660.0  636.0
171 1851.072232 2.765E-48 1.782E+00.01900.02413963.77720.50-.002800              7              6                    R 18      222623 4 3 2 1 0 1   468.0  444.0
171 1852.412376 2.334E-51 2.477E+00.01900.01015550.27910.50-.002800              7              6                    R 25      222623 4 3 2 1 0 1   636.0  612.0
171 1852.490817 2.697E-34 1.560E-03.02050.039 5827.26130.50-.002800              3              2                    P 15      454623 4 3 2 1 0 1   348.0  372.0
171 1852.900106 1.165E-48 1.874E+00.01900.02114161.74180.50-.002800              7              6                    R 19      222623 4 3 2 1 0 1   492.0  468.0
171 1853.396427 9.153E-36 3.849E-02.03150.064 7095.49570.50-.002800              4              3                    P 10      464623 4 3 2 1 0 1   228.0  252.0
171 1853.914076 7.404E-51 2.371E+00.01900.01215295.53490.50-.002800              7              6                    R 24      222623 4 3 2 1 0 1   612.0  588.0
171 1854.200459 4.671E-49 1.968E+00.01900.01814369.44930.50-.002800              7              6                    R 20      222623 4 3 2 1 0 1   516.0  492.0
171 1854.795762 1.499E-38 2.007E-01.05770.083 8549.26380.50-.004700              5              4                    P  4      364624 4 3 2 1 0 1    84.0  108.0
171 1854.831473 2.241E-50 2.267E+00.01900.01315049.95610.50-.002800              7              6                    R 23      222623 4 3 2 1 0 1   588.0  564.0
171 1854.963058 1.782E-49 2.065E+00.01900.01714586.79510.50-.002800              7              6                    R 21      222623 4 3 2 1 0 1   540.0  516.0
171 1855.177163 6.473E-50 2.165E+00.01900.01514813.66920.50-.002800              7              6                    R 22      222623 4 3 2 1 0 1   564.0  540.0
171 1857.142938 5.666E-42 4.872E-01.05770.08310404.05950.50-.002800              6              5                    R  3      424624 4 3 2 1 0 1   108.0   84.0
171 1857.399997 1.819E-28 7.742E-03.01900.014 3484.78370.50-.002800              1              0                    P 23      462623 4 3 2 1 0 1   540.0  564.0
171 1858.621712 2.396E-31 2.508E-03.01900.024 4576.89020.50-.002800              2              1                    P 19      452623 4 3 2 1 0 1   444.0  468.0
171 1866.335449 6.089E-42 5.367E-01.05240.08110448.41640.50-.003300              6              5                    R  4      424624 4 3 2 1 0 1   132.0  108.0
171 1867.312531 1.544E-38 2.349E-01.06340.084 8503.46160.50-.003300              5              4                    P  3      364624 4 3 2 1 0 1    60.0   84.0
171 1868.177735 1.741E-35 4.700E-02.03490.069 6978.14830.50-.003700              4              3                    P  9      464624 4 3 2 1 0 1   204.0  228.0
171 1869.024131 1.186E-33 3.131E-03.02190.044 5647.55260.50-.002800              3              2                    P 14      454623 4 3 2 1 0 1   324.0  348.0
171 1875.129720 5.945E-42 5.859E-01.04740.07910503.82430.50-.004500              6              5                    R  5      424624 4 3 2 1 0 1   156.0  132.0
171 1876.502091 3.748E-31 1.368E-03.01900.026 4344.81950.50-.002800              2              1                    P 18      452623 4 3 2 1 0 1   420.0  444.0
171 1876.538881 5.489E-28 6.223E-03.01900.016 3199.13250.50-.002800              1              0                    P 22      462623 4 3 2 1 0 1   516.0  540.0
171 1879.482980 1.333E-38 2.898E-01.06960.087 8469.09240.50-.002500              5              4                    P  2      364624 4 3 2 1 0 1    36.0   60.0
171 1882.648505 3.052E-35 5.670E-02.03870.072 6872.39410.50-.004200              4              3                    P  8      464624 4 3 2 1 0 1   180.0  204.0
171 1883.520054 5.342E-42 6.358E-01.04280.07610570.25790.50-.005600              6              5                    R  6      424624 4 3 2 1 0 1   180.0  156.0
171 1884.949866 3.134E-57 3.481E+00.01900.01118482.01060.50-.002800              6              5                    R 39      422623 4 3 2 1 0 1   972.0  948.0
171 1885.275701 4.141E-33 5.310E-03.02370.048 5479.49110.50-.002800              3              2                    P 13      454623 4 3 2 1 0 1   300.0  324.0
171 1891.302226 8.142E-39 4.809E-01.07610.089 8446.17120.50-.001000              5              4                    P  1      364624 4 3 2 1 0 1    12.0   36.0
171 1891.500641 4.452E-42 6.869E-01.03870.07310647.68670.50-.005200              6              5                    R  7      424624 4 3 2 1 0 1   204.0  180.0
171 1894.123894 4.096E-31 5.536E-04.01900.031 4124.41980.50-.002800              2              1                    P 17      452623 4 3 2 1 0 1   396.0  420.0
171 1894.644892 1.876E-56 3.361E+00.01900.01118099.41890.50-.002800              6              5                    R 38      422623 4 3 2 1 0 1   948.0  924.0
171 1895.441659 1.509E-27 4.831E-03.01900.018 2925.09810.50-.002800              1              0                    P 21      462623 4 3 2 1 0 1   492.0  516.0
171 1896.804152 4.919E-35 6.775E-02.04280.076 6778.27770.50-.004300              4              3                    P  7      464624 4 3 2 1 0 1   156.0  180.0
171 1899.065552 3.458E-42 7.397E-01.03490.07010736.07520.50-.004500              6              5                    R  8      424624 4 3 2 1 0 1   228.0  204.0
171 1901.241072 1.228E-32 8.142E-03.02590.054 5323.14560.50-.002800              3              2                    P 12      454623 4 3 2 1 0 1   276.0  300.0
