221 2290.795743 7.502E-35 1.223E-08.02000.020 3511.17410.200.000000              2              1                    Q 24q     344440 4 3 2 1 1 0   294.0  294.0
221 2291.632720 5.695E-35 1.225E-08.02140.021 3416.82530.200.000000              2              1                    Q 23q     344440 4 3 2 1 1 0   141.0  141.0
221 2291.893685 3.586E-38 1.932E-08.06210.062 4635.07560.790.000000              3              2                    S  1q     344440 4 3 2 1 1 0    21.0    9.0
221 2292.307983 1.751E-36 6.161E-09.02000.020 4274.70550.200.000000              1              0                    Q 46q     344440 4 3 2 1 1 0   558.0  558.0
221 2292.434777 1.694E-34 1.227E-08.02300.023 3326.38290.200.000000              2              1                    Q 22q     344440 4 3 2 1 1 0   270.0  270.0
221 2293.201920 1.233E-34 1.228E-08.02500.025 3239.85010.200.000000              2              1                    Q 21q     344440 4 3 2 1 1 0   129.0  129.0
221 2293.894793 9.408E-29 1.114E-08.05250.052   59.68260.760.000000              1              0                    O  5q     344440 4 3 2 1 1 0    21.0   33.0
221 2293.910075 2.065E-36 6.176E-09.02000.020 4093.89290.200.000000              1              0                    Q 45q     344440 4 3 2 1 1 0   273.0  273.0
221 2293.934155 3.517E-34 1.230E-08.02730.027 3157.22980.200.000000              2              1                    Q 20q     344440 4 3 2 1 1 0   246.0  246.0
221 2294.631487 2.454E-34 1.232E-08.02990.030 3078.52490.200.000000              2              1                    Q 19q     344440 4 3 2 1 1 0   117.0  117.0
221 2295.293921 6.703E-34 1.233E-08.03270.033 3003.73830.270.000000              2              1                    Q 18q     344440 4 3 2 1 1 0   222.0  222.0
221 2295.477165 9.559E-36 6.192E-09.02000.020 3916.91750.200.000000              1              0                    Q 44q     344440 4 3 2 1 1 0   534.0  534.0
221 2295.921463 4.477E-34 1.235E-08.03320.033 2932.87250.340.000000              2              1                    Q 17q     344440 4 3 2 1 1 0   105.0  105.0
221 2296.514117 1.170E-33 1.237E-08.03390.034 2865.93000.410.000000              2              1                    Q 16q     344440 4 3 2 1 1 0   198.0  198.0
221 2297.009265 1.085E-35 6.206E-09.02000.020 3743.78520.200.000000              1              0                    Q 43q     344440 4 3 2 1 1 0   261.0  261.0
221 2297.071886 7.470E-34 1.238E-08.03300.033 2802.91320.470.000000              2              1                    Q 15q     344440 4 3 2 1 1 0    93.0   93.0
221 2297.594776 1.864E-33 1.239E-08.03570.036 2743.82420.520.000000              2              1                    Q 14q     344440 4 3 2 1 1 0   174.0  174.0
221 2298.082789 1.136E-33 1.242E-08.03560.036 2688.66510.570.000000              2              1                    Q 13q     344440 4 3 2 1 1 0    81.0   81.0
221 2298.506388 4.834E-35 6.223E-09.02000.020 3574.50230.200.000000              1              0                    Q 42q     344440 4 3 2 1 1 0   510.0  510.0
221 2298.535930 2.701E-33 1.243E-08.03740.037 2637.43790.620.000000              2              1                    Q 12q     344440 4 3 2 1 1 0   150.0  150.0
221 2298.954202 1.565E-33 1.245E-08.04320.043 2590.14440.650.000000              2              1                    Q 11q     344440 4 3 2 1 1 0    69.0   69.0
221 2299.337607 3.534E-33 1.247E-08.04660.047 2546.78620.680.000000              2              1                    Q 10q     344440 4 3 2 1 1 0   126.0  126.0
221 2299.571749 1.004E-37 2.200E-08.05880.059 4642.89460.780.000000              3              2                    S  2q     344440 4 3 2 1 1 0    54.0   30.0
221 2299.686148 1.940E-33 1.250E-08.04720.047 2507.36480.710.000000              2              1                    Q  9q     344440 4 3 2 1 1 0    57.0   57.0
221 2299.968546 5.280E-35 6.238E-09.02000.020 3409.07460.200.000000              1              0                    Q 41q     344440 4 3 2 1 1 0   249.0  249.0
221 2299.999829 4.134E-33 1.253E-08.04690.047 2471.88160.730.000000              2              1                    Q  8q     344440 4 3 2 1 1 0   102.0  102.0
221 2300.278650 2.133E-33 1.257E-08.04760.048 2440.33790.740.000000              2              1                    Q  7q     344440 4 3 2 1 1 0    45.0   45.0
221 2300.522614 4.248E-33 1.264E-08.04690.047 2412.73470.750.000000              2              1                    Q  6q     344440 4 3 2 1 1 0    78.0   78.0
221 2300.731723 2.032E-33 1.274E-08.04770.048 2389.07300.760.000000              2              1                    Q  5q     344440 4 3 2 1 1 0    33.0   33.0
221 2300.905978 3.707E-33 1.290E-08.04900.049 2369.35370.760.000000              2              1                    Q  4q     344440 4 3 2 1 1 0    54.0   54.0
221 2301.045381 1.598E-33 1.325E-08.05090.051 2353.57740.770.000000              2              1                    Q  3q     344440 4 3 2 1 1 0    21.0   21.0
221 2301.149932 2.591E-33 1.420E-08.05350.053 2341.74470.780.000000              2              1                    Q  2q     344440 4 3 2 1 1 0    30.0   30.0
221 2301.219633 1.131E-33 1.988E-08.05670.057 2333.85600.790.000000              2              1                    Q  1q     344440 4 3 2 1 1 0     9.0    9.0
221 2301.395748 2.263E-34 6.253E-09.02000.020 3247.50780.200.000000              1              0                    Q 40q     344440 4 3 2 1 1 0   486.0  486.0
221 2301.955142 1.628E-28 1.234E-08.05420.054   39.78950.760.000000              1              0                    O  4q     344440 4 3 2 1 1 0    30.0   54.0
221 2302.788007 2.377E-34 6.265E-09.02000.020 3089.80750.200.000000              1              0                    Q 39q     344440 4 3 2 1 1 0   237.0  237.0
221 2304.145333 9.799E-34 6.281E-09.02000.020 2935.97920.200.000000              1              0                    Q 38q     344440 4 3 2 1 1 0   462.0  462.0
