461 2574.890514 5.917E-23 2.110E-01.07240.066 1085.98520.750.000000              2              0                    R 36      532210 1 1 1 1 1 0    75.0   73.0
461 2575.266398 1.586E-34 4.120E-01.06980.059 6893.27670.750.000000              2              0                    R 92      532210 1 1 1 1 1 0   187.0  185.0
461 2575.601444 4.574E-23 2.130E-01.07210.066 1146.17870.750.000000              2              0                    R 37      532210 1 1 1 1 1 0    77.0   75.0
461 2575.982577 3.145E-34 4.060E-01.06980.059 6747.08710.750.000000              2              0                    R 91      532210 1 1 1 1 1 0   185.0  183.0
461 2576.287419 3.506E-23 2.150E-01.07180.065 1207.98390.750.000000              2              0                    R 38      532210 1 1 1 1 1 0    79.0   77.0
461 2576.671758 6.204E-34 4.010E-01.06980.059 6602.39790.750.000000              2              0                    R 90      532210 1 1 1 1 1 0   183.0  181.0
461 2576.948402 2.677E-23 2.180E-01.07160.065 1271.39950.750.000000              2              0                    R 39      532210 1 1 1 1 1 0    81.0   79.0
461 2577.333983 1.215E-33 3.960E-01.06980.059 6459.21190.750.000000              2              0                    R 89      532210 1 1 1 1 1 0   181.0  179.0
461 2577.584359 2.017E-23 2.200E-01.07130.065 1336.42420.750.000000              2              0                    R 40      532210 1 1 1 1 1 0    83.0   81.0
461 2577.969293 2.360E-33 3.910E-01.06980.059 6317.53210.750.000000              2              0                    R 88      532210 1 1 1 1 1 0   179.0  177.0
461 2578.195255 1.507E-23 2.220E-01.07110.064 1403.05680.750.000000              2              0                    R 41      532210 1 1 1 1 1 0    85.0   83.0
461 2578.577730 4.540E-33 3.850E-01.06980.059 6177.36120.750.000000              2              0                    R 87      532210 1 1 1 1 1 0   177.0  175.0
461 2578.781054 1.116E-23 2.240E-01.07080.064 1471.29600.750.000000              2              0                    R 42      532210 1 1 1 1 1 0    87.0   85.0
461 2579.159334 8.690E-33 3.800E-01.06980.059 6038.70210.750.000000              2              0                    R 86      532210 1 1 1 1 1 0   175.0  173.0
461 2579.341722 8.238E-24 2.270E-01.07050.063 1541.14040.750.000000              2              0                    R 43      532210 1 1 1 1 1 0    89.0   87.0
461 2579.714146 1.650E-32 3.750E-01.06980.059 5901.55760.750.000000              2              0                    R 85      532210 1 1 1 1 1 0   173.0  171.0
461 2579.877224 6.002E-24 2.290E-01.07030.063 1612.58860.750.000000              2              0                    R 44      532210 1 1 1 1 1 0    91.0   89.0
461 2580.242207 3.110E-32 3.700E-01.06980.059 5765.93030.750.000000              2              0                    R 84      532210 1 1 1 1 1 0   171.0  169.0
461 2580.387522 4.355E-24 2.320E-01.07000.062 1685.63930.750.000000              2              0                    R 45      532210 1 1 1 1 1 0    93.0   91.0
461 2580.743558 5.834E-32 3.660E-01.06980.059 5631.82310.750.000000              2              0                    R 83      532210 1 1 1 1 1 0   169.0  167.0
461 2580.872583 3.120E-24 2.340E-01.06980.062 1760.29100.750.000000              2              0                    R 46      532210 1 1 1 1 1 0    95.0   93.0
461 2581.218238 1.083E-31 3.610E-01.06980.059 5499.23850.750.000000              2              0                    R 82      532210 1 1 1 1 1 0   167.0  165.0
461 2581.332371 2.227E-24 2.370E-01.06950.061 1836.54220.750.000000              2              0                    R 47      532210 1 1 1 1 1 0    97.0   95.0
461 2581.666288 1.994E-31 3.560E-01.06980.059 5368.17920.750.000000              2              0                    R 81      532210 1 1 1 1 1 0   165.0  163.0
461 2581.766849 1.569E-24 2.390E-01.06980.061 1914.39140.750.000000              2              0                    R 48      532210 1 1 1 1 1 0    99.0   97.0
461 2582.087748 3.655E-31 3.520E-01.06980.059 5238.64790.750.000000              2              0                    R 80      532210 1 1 1 1 1 0   163.0  161.0
461 2582.175982 1.101E-24 2.420E-01.06980.060 1993.83710.750.000000              2              0                    R 49      532210 1 1 1 1 1 0   101.0   99.0
461 2582.482658 6.627E-31 3.470E-01.06980.059 5110.64710.750.000000              2              0                    R 79      532210 1 1 1 1 1 0   161.0  159.0
461 2582.559734 7.636E-25 2.440E-01.06980.059 2074.87770.750.000000              2              0                    R 50      532210 1 1 1 1 1 0   103.0  101.0
461 2582.851057 1.196E-30 3.430E-01.06980.059 4984.17930.750.000000              2              0                    R 78      532210 1 1 1 1 1 0   159.0  157.0
461 2582.918070 5.272E-25 2.470E-01.06980.059 2157.51160.750.000000              2              0                    R 51      532210 1 1 1 1 1 0   105.0  103.0
461 2583.192985 2.135E-30 3.380E-01.06980.059 4859.24720.750.000000              2              0                    R 77      532210 1 1 1 1 1 0   157.0  155.0
461 2583.250952 3.610E-25 2.500E-01.06980.059 2241.73720.750.000000              2              0                    R 52      532210 1 1 1 1 1 0   107.0  105.0
461 2583.508482 3.794E-30 3.340E-01.06980.059 4735.85310.750.000000              2              0                    R 76      532210 1 1 1 1 1 0   155.0  153.0
461 2583.558346 2.452E-25 2.530E-01.06980.059 2327.55280.750.000000              2              0                    R 53      532210 1 1 1 1 1 0   109.0  107.0
461 2583.797586 6.669E-30 3.290E-01.06980.059 4613.99960.750.000000              2              0                    R 75      532210 1 1 1 1 1 0   153.0  151.0
461 2583.840213 1.651E-25 2.560E-01.06980.059 2414.95680.750.000000              2              0                    R 54      532210 1 1 1 1 1 0   111.0  109.0
461 2584.060337 1.167E-29 3.250E-01.06980.059 4493.68900.750.000000              2              0                    R 74      532210 1 1 1 1 1 0   151.0  149.0
461 2584.096519 1.103E-25 2.590E-01.06980.059 2503.94730.750.000000              2              0                    R 55      532210 1 1 1 1 1 0   113.0  111.0
461 2584.296774 2.025E-29 3.210E-01.06980.059 4374.92390.750.000000              2              0                    R 73      532210 1 1 1 1 1 0   149.0  147.0
461 2584.327227 7.312E-26 2.620E-01.06980.059 2594.52270.750.000000              2              0                    R 56      532210 1 1 1 1 1 0   115.0  113.0
461 2584.506936 3.487E-29 3.170E-01.06980.059 4257.70640.750.000000              2              0                    R 72      532210 1 1 1 1 1 0   147.0  145.0
461 2584.532299 4.789E-26 2.640E-01.06980.059 2686.68110.750.000000              2              0                    R 57      532210 1 1 1 1 1 0   117.0  115.0
461 2584.690860 5.957E-29 3.130E-01.06980.059 4142.03900.750.000000              2              0                    R 71      532210 1 1 1 1 1 0   145.0  143.0
461 2584.711700 3.135E-26 2.680E-01.06980.059 2780.42070.750.000000              2              0                    R 58      532210 1 1 1 1 1 0   119.0  117.0
461 2584.848587 1.010E-28 3.090E-01.06980.059 4027.92390.750.000000              2              0                    R 70      532210 1 1 1 1 1 0   143.0  141.0
461 2584.865392 2.028E-26 2.710E-01.06980.059 2875.73970.750.000000              2              0                    R 59      532210 1 1 1 1 1 0   121.0  119.0
461 2584.980154 1.704E-28 3.060E-01.06980.059 3915.36350.750.000000              2              0                    R 69      532210 1 1 1 1 1 0   141.0  139.0
461 2584.993338 1.301E-26 2.740E-01.06980.059 2972.63610.750.000000              2              0                    R 60      532210 1 1 1 1 1 0   123.0  121.0
461 2585.085599 2.844E-28 3.020E-01.06980.059 3804.35990.750.000000              2              0                    R 68      532210 1 1 1 1 1 0   139.0  137.0
461 2585.095502 8.282E-27 2.770E-01.06980.059 3071.10810.750.000000              2              0                    R 61      532210 1 1 1 1 1 0   125.0  123.0
461 2585.164961 4.708E-28 2.980E-01.06980.059 3694.91540.750.000000              2              0                    R 67      532210 1 1 1 1 1 0   137.0  135.0
461 2585.171846 5.230E-27 2.800E-01.06980.059 3171.15370.750.000000              2              0                    R 62      532210 1 1 1 1 1 0   127.0  125.0
461 2585.218277 7.732E-28 2.940E-01.06980.059 3587.03210.750.000000              2              0                    R 66      532210 1 1 1 1 1 0   135.0  133.0
461 2585.222333 3.288E-27 2.840E-01.06980.059 3272.77100.750.000000              2              0                    R 63      532210 1 1 1 1 1 0   129.0  127.0
461 2585.245586 1.264E-27 2.910E-01.06980.059 3480.71220.750.000000              2              0                    R 65      532210 1 1 1 1 1 0   133.0  131.0
461 2585.246926 2.043E-27 2.870E-01.06980.059 3375.95780.750.000000              2              0                    R 64      532210 1 1 1 1 1 0   131.0  129.0
