161 2049.551848 6.184E-29 4.288E+00.01500.050 4888.31810.500.000000              1              0                    P 24      463400 6 3 1 1 0 0   376.0  392.0
161 2053.507438 5.004E-34 1.042E+01.01500.052 7409.44090.500.000000              3              2                    P 17      453400 6 3 1 1 0 0   264.0  280.0
161 2054.769501 5.379E-37 1.201E+01.02000.059 8787.57060.500.000000              4              3                    P 13      453400 6 3 1 1 0 0   200.0  216.0
161 2058.361227 1.971E-44 1.177E+01.09200.13811974.16350.500.000000              6              5                    P  3      463400 6 3 1 1 0 0    40.0   56.0
161 2059.220444 5.156E-49 4.642E+00.08000.13614074.20650.500.000000              7              6                    R  3      363400 6 3 1 1 0 0    72.0   56.0
161 2064.372526 3.042E-40 1.237E+01.04100.09010225.14450.500.000000              5              4                    P  8      463400 6 3 1 1 0 0   120.0  136.0
161 2066.846762 6.448E-31 7.834E+00.01500.050 5909.26150.500.000000              2              1                    P 20      453400 6 3 1 1 0 0   312.0  328.0
161 2067.913117 5.023E-68 5.124E+01.01500.05024024.34960.500.000000              7              6                    R 39      353400 6 3 1 1 0 0   648.0  632.0
161 2070.630607 4.611E-49 4.499E+00.06900.12814129.74440.500.000000              7              6                    R  4      363400 6 3 1 1 0 0    88.0   72.0
161 2073.663438 1.570E-44 1.286E+01.09600.13511931.05990.500.000000              6              5                    P  2      463400 6 3 1 1 0 0    24.0   40.0
161 2074.578623 3.738E-28 4.329E+00.01500.050 4506.14550.500.000000              1              0                    P 23      463400 6 3 1 1 0 0   360.0  376.0
161 2075.023443 1.263E-36 1.205E+01.02200.063 8591.45630.500.000000              4              3                    P 12      463400 6 3 1 1 0 0   184.0  200.0
161 2075.571842 1.650E-33 1.047E+01.01600.053 7147.85980.500.000000              3              2                    P 16      453400 6 3 1 1 0 0   248.0  264.0
161 2081.487162 3.603E-67 4.017E+01.01500.05023561.10970.500.000000              7              6                    R 38      353400 6 3 1 1 0 0   632.0  616.0
161 2081.516664 3.682E-49 4.304E+00.05800.11614199.10590.500.000000              7              6                    R  5      363400 6 3 1 1 0 0   104.0   88.0
161 2082.270354 4.615E-40 1.241E+01.04800.10210107.04800.500.000000              5              4                    P  7      463400 6 3 1 1 0 0   104.0  120.0
161 2088.507875 8.737E-45 1.894E+01.12300.13211902.31070.500.000000              6              5                    P  1      463400 6 3 1 1 0 0     8.0   24.0
161 2090.290859 2.771E-30 7.890E+00.01500.050 5595.28010.500.000000              2              1                    P 19      453400 6 3 1 1 0 0   296.0  312.0
161 2091.870036 2.658E-49 4.073E+00.04800.10214282.25050.500.000000              7              6                    R  6      363400 6 3 1 1 0 0   120.0  104.0
161 2094.042807 2.478E-66 3.138E+01.01500.05023105.84870.500.000000              7              6                    R 37      353400 6 3 1 1 0 0   616.0  600.0
161 2094.909653 2.740E-36 1.208E+01.02600.067 8410.02680.500.000000              4              3                    P 11      463400 6 3 1 1 0 0   168.0  184.0
161 2097.304181 5.042E-33 1.052E+01.01700.055 6900.96190.500.000000              3              2                    P 15      453400 6 3 1 1 0 0   232.0  248.0
161 2099.336175 2.102E-27 4.367E+00.01500.050 4138.46130.500.000000              1              0                    P 22      463400 6 3 1 1 0 0   344.0  360.0
161 2099.756235 6.383E-40 1.248E+01.05800.11610003.57280.500.000000              5              4                    P  6      463400 6 3 1 1 0 0    88.0  104.0
161 2101.682049 1.746E-49 3.816E+00.04100.09014379.12970.500.000000              7              6                    R  7      363400 6 3 1 1 0 0   136.0  120.0
161 2105.614103 1.630E-65 2.440E+01.01500.05022658.87570.500.000000              7              6                    R 36      353400 6 3 1 1 0 0   600.0  584.0
161 2110.943980 1.048E-49 3.540E+00.03900.08014489.68670.500.000000              7              6                    R  8      363400 6 3 1 1 0 0   152.0  136.0
161 2113.430358 1.105E-29 7.940E+00.01500.051 5296.01060.500.000000              2              1                    P 18      453400 6 3 1 1 0 0   280.0  296.0
161 2114.420220 5.482E-36 1.210E+01.03200.073 8243.37780.500.000000              4              3                    P 10      463400 6 3 1 1 0 0   152.0  168.0
161 2116.231774 1.022E-64 1.884E+01.01500.05022220.49040.500.000000              7              6                    R 35      353400 6 3 1 1 0 0   584.0  568.0
161 2116.791259 8.733E-45 6.045E+00.12300.13211887.93210.500.000000              6              5                    R  0      463400 6 3 1 1 0 0    24.0    8.0
161 2116.822247 7.985E-40 1.259E+01.06900.128 9914.77500.500.000000              5              4                    P  5      463400 6 3 1 1 0 0    72.0   88.0
161 2118.696520 1.427E-32 1.056E+01.01800.057 6668.87410.500.000000              3              2                    P 14      453400 6 3 1 1 0 0   216.0  232.0
161 2119.646978 5.769E-50 3.250E+00.03200.07314613.85690.500.000000              7              6                    R  9      363400 6 3 1 1 0 0   168.0  152.0
161 2123.812529 9.342E-30 1.394E-02.01500.050 3785.44640.500.000000              1              0           21.5     P 21  21.5463400 5 3 1 1 0 0    88.0   88.0
161 2123.813055 1.034E-32 1.545E-05.01500.050 3785.44580.500.000000              1              0           21.5     P 21  20.5463400 5 3 1 1 0 0    88.0   84.0
161 2123.816863 2.545E-27 4.401E+00.01500.050 3785.44110.500.000000              1              0           18.5     P 21  19.5463400 5 3 1 1 0 0    76.0   80.0
161 2123.816875 2.937E-27 4.387E+00.01500.050 3785.44200.500.000000              1              0           21.5     P 21  22.5463400 5 3 1 1 0 0    88.0   92.0
161 2123.816934 2.668E-27 4.386E+00.01500.050 3785.44580.500.000000              1              0           19.5     P 21  20.5463400 5 3 1 1 0 0    80.0   84.0
