441 2045.612703 6.536E-24 5.031E-01.10000.100 1440.80380.750.000000  0010000 0 0 0  0000000 0 0 0                    P 97e     432220 3 3 1 1 1 0  1158.0 1170.0
441 2045.884529 5.293E-24 5.034E-01.10000.100 1468.72120.750.000000  0010001 0 0 1  0000001 0 0 1                    P 90f     432220 3 3 1 1 1 0  1074.0 1086.0
441 2045.941181 5.337E-24 5.035E-01.10000.100 1466.97030.750.000000  0010001 0 0 1  0000001 0 0 1                    P 90e     432220 3 3 1 1 1 0  1074.0 1086.0
441 2046.003091 7.461E-24 5.034E-01.10000.100 1411.43240.750.000000  0010000 0 0 0  0000000 0 0 0                    P 96e     432220 3 3 1 1 1 0  1146.0 1158.0
441 2046.269286 5.980E-24 5.038E-01.10000.100 1441.35740.750.000000  0010001 0 0 1  0000001 0 0 1                    P 89f     432220 3 3 1 1 1 0  1062.0 1074.0
441 2046.325192 6.032E-24 5.038E-01.10000.100 1439.64420.750.000000  0010001 0 0 1  0000001 0 0 1                    P 89e     432220 3 3 1 1 1 0  1062.0 1074.0
441 2046.392601 8.505E-24 5.037E-01.10000.100 1382.36240.750.000000  0010000 0 0 0  0000000 0 0 0                    P 95e     432220 3 3 1 1 1 0  1134.0 1146.0
441 2046.653167 6.745E-24 5.041E-01.10000.100 1414.29650.750.000000  0010001 0 0 1  0000001 0 0 1                    P 88f     432220 3 3 1 1 1 0  1050.0 1062.0
441 2046.708327 6.803E-24 5.041E-01.10000.100 1412.62070.750.000000  0010001 0 0 1  0000001 0 0 1                    P 88e     432220 3 3 1 1 1 0  1050.0 1062.0
441 2046.781233 9.682E-24 5.040E-01.10000.100 1353.59400.750.000000  0010000 0 0 0  0000000 0 0 0                    P 94e     432220 3 3 1 1 1 0  1122.0 1134.0
441 2047.036172 7.596E-24 5.044E-01.10000.100 1387.53840.750.000000  0010001 0 0 1  0000001 0 0 1                    P 87f     432220 3 3 1 1 1 0  1038.0 1050.0
441 2047.090587 7.658E-24 5.044E-01.10000.100 1385.89960.750.000000  0010001 0 0 1  0000001 0 0 1                    P 87e     432220 3 3 1 1 1 0  1038.0 1050.0
441 2047.168987 1.100E-23 5.044E-01.10000.100 1325.12700.750.000000  0010000 0 0 0  0000000 0 0 0                    P 93e     432220 3 3 1 1 1 0  1110.0 1122.0
441 2047.418301 8.541E-24 5.047E-01.10000.100 1361.08320.750.000000  0010001 0 0 1  0000001 0 0 1                    P 86f     432220 3 3 1 1 1 0  1026.0 1038.0
441 2047.471970 8.608E-24 5.047E-01.10000.100 1359.48100.750.000000  0010001 0 0 1  0000001 0 0 1                    P 86e     432220 3 3 1 1 1 0  1026.0 1038.0
441 2047.555862 1.248E-23 5.047E-01.10000.100 1296.96170.750.000000  0010000 0 0 0  0000000 0 0 0                    P 92e     432220 3 3 1 1 1 0  1098.0 1110.0
441 2047.799552 9.589E-24 5.050E-01.10000.100 1334.93100.750.000000  0010001 0 0 1  0000001 0 0 1                    P 85f     432220 3 3 1 1 1 0  1014.0 1026.0
441 2047.852477 9.662E-24 5.051E-01.10000.100 1333.36490.750.000000  0010001 0 0 1  0000001 0 0 1                    P 85e     432220 3 3 1 1 1 0  1014.0 1026.0
441 2047.941856 1.414E-23 5.050E-01.10000.100 1269.09800.750.000000  0010000 0 0 0  0000000 0 0 0                    P 91e     432220 3 3 1 1 1 0  1086.0 1098.0
441 2048.179925 1.074E-23 5.053E-01.10000.100 1309.08170.750.000000  0010001 0 0 1  0000001 0 0 1                    P 84f     432220 3 3 1 1 1 0  1002.0 1014.0
441 2048.232107 1.083E-23 5.054E-01.10000.100 1307.55150.750.000000  0010001 0 0 1  0000001 0 0 1                    P 84e     432220 3 3 1 1 1 0  1002.0 1014.0
441 2048.326971 1.599E-23 5.053E-01.10000.100 1241.53590.750.000000  0010000 0 0 0  0000000 0 0 0                    P 90e     432220 3 3 1 1 1 0  1074.0 1086.0
441 2048.559419 1.202E-23 5.056E-01.10000.100 1283.53550.750.000000  0010001 0 0 1  0000001 0 0 1                    P 83f     432220 3 3 1 1 1 0   990.0 1002.0
441 2048.610858 1.212E-23 5.057E-01.10000.100 1282.04070.750.000000  0010001 0 0 1  0000001 0 0 1                    P 83e     432220 3 3 1 1 1 0   990.0 1002.0
441 2048.711204 1.806E-23 5.056E-01.10000.100 1214.27550.750.000000  0010000 0 0 0  0000000 0 0 0                    P 89e     432220 3 3 1 1 1 0  1062.0 1074.0
441 2048.938035 1.344E-23 5.060E-01.10000.100 1258.29240.750.000000  0010001 0 0 1  0000001 0 0 1                    P 82f     432220 3 3 1 1 1 0   978.0  990.0
441 2048.988732 1.353E-23 5.060E-01.10000.100 1256.83250.750.000000  0010001 0 0 1  0000001 0 0 1                    P 82e     432220 3 3 1 1 1 0   978.0  990.0
441 2049.094555 2.036E-23 5.059E-01.10000.100 1187.31690.750.000000  0010000 0 0 0  0000000 0 0 0                    P 88e     432220 3 3 1 1 1 0  1050.0 1062.0
441 2049.315771 1.498E-23 5.063E-01.10000.100 1233.35230.750.000000  0010001 0 0 1  0000001 0 0 1                    P 81f     432220 3 3 1 1 1 0   966.0  978.0
441 2049.365727 1.509E-23 5.063E-01.10000.100 1231.92710.750.000000  0010001 0 0 1  0000001 0 0 1                    P 81e     432220 3 3 1 1 1 0   966.0  978.0
441 2049.477024 2.292E-23 5.063E-01.10000.100 1160.66010.750.000000  0010000 0 0 0  0000000 0 0 0                    P 87e     432220 3 3 1 1 1 0  1038.0 1050.0
441 2049.692626 1.669E-23 5.066E-01.10000.100 1208.71540.750.000000  0010001 0 0 1  0000001 0 0 1                    P 80f     432220 3 3 1 1 1 0   954.0  966.0
441 2049.741842 1.680E-23 5.066E-01.10000.100 1207.32440.750.000000  0010001 0 0 1  0000001 0 0 1                    P 80e     432220 3 3 1 1 1 0   954.0  966.0
441 2049.858610 2.576E-23 5.066E-01.10000.100 1134.30500.750.000000  0010000 0 0 0  0000000 0 0 0                    P 86e     432220 3 3 1 1 1 0  1026.0 1038.0
441 2050.068601 1.854E-23 5.069E-01.10000.100 1184.38160.750.000000  0010001 0 0 1  0000001 0 0 1                    P 79f     432220 3 3 1 1 1 0   942.0  954.0
441 2050.117078 1.867E-23 5.069E-01.10000.100 1183.02440.750.000000  0010001 0 0 1  0000001 0 0 1                    P 79e     432220 3 3 1 1 1 0   942.0  954.0
441 2050.239312 2.890E-23 5.069E-01.10000.100 1108.25180.750.000000  0010000 0 0 0  0000000 0 0 0                    P 85e     432220 3 3 1 1 1 0  1014.0 1026.0
441 2050.443694 2.059E-23 5.072E-01.10000.100 1160.35110.750.000000  0010001 0 0 1  0000001 0 0 1                    P 78f     432220 3 3 1 1 1 0   930.0  942.0
441 2050.491434 2.072E-23 5.073E-01.10000.100 1159.02730.750.000000  0010001 0 0 1  0000001 0 0 1                    P 78e     432220 3 3 1 1 1 0   930.0  942.0
441 2050.619130 3.236E-23 5.072E-01.10000.100 1082.50060.750.000000  0010000 0 0 0  0000000 0 0 0                    P 84e     532220 3 3 1 1 1 0  1002.0 1014.0
441 2050.817906 2.281E-23 5.075E-01.10000.100 1136.62380.750.000000  0010001 0 0 1  0000001 0 0 1                    P 77f     432220 3 3 1 1 1 0   918.0  930.0
441 2050.864909 2.296E-23 5.076E-01.10000.100 1135.33300.750.000000  0010001 0 0 1  0000001 0 0 1                    P 77e     432220 3 3 1 1 1 0   918.0  930.0
441 2050.998063 3.621E-23 5.075E-01.10000.100 1057.05120.750.000000  0010000 0 0 0  0000000 0 0 0                    P 83e     532220 3 3 1 1 1 0   990.0 1002.0
441 2051.191234 2.523E-23 5.079E-01.10000.100 1113.19980.750.000000  0010001 0 0 1  0000001 0 0 1                    P 76f     432220 3 3 1 1 1 0   906.0  918.0
441 2051.237503 2.538E-23 5.079E-01.10000.100 1111.94170.750.000000  0010001 0 0 1  0000001 0 0 1                    P 76e     432220 3 3 1 1 1 0   906.0  918.0
441 2051.376109 4.042E-23 5.078E-01.10000.100 1031.90380.750.000000  0010000 0 0 0  0000000 0 0 0                    P 82e     532220 3 3 1 1 1 0   978.0  990.0
441 2051.563680 2.787E-23 5.082E-01.10000.100 1090.07910.750.000000  0010001 0 0 1  0000001 0 0 1                    P 75f     432220 3 3 1 1 1 0   894.0  906.0
