531 1504.053731 1.909E-29 6.951E+01.08610.111 5310.05630.740.000000       3 0 0 3        0 1 1 3                     P 58      335540 1 1 1 1 1 0   115.0  117.0
531 1504.121355 3.105E-25 6.929E+01.10920.133 3112.12140.660.000000       0 0 0 3        0 0 0 2                     P 22      336650 1 1 1 1 1 0    43.0   45.0
531 1504.233982 1.848E-20 3.066E+02.07800.099 1435.43780.770.000000       1 0 0 1        1 0 0 0                     P 84      335540 1 1 1 1 1 0   167.0  169.0
531 1504.237283 1.050E-20 6.813E+01.07690.097 1251.89790.760.000000       0 1 1 1        0 1 1 0                     P 88      335540 1 1 1 1 1 0   175.0  177.0
531 1504.245418 2.032E-21 6.840E+01.09030.114 1464.91560.670.000000       0 3 1 1        0 3 1 0                     P 48      336650 1 1 1 1 1 0    95.0   97.0
531 1504.280928 3.714E-21 3.427E+02.09350.115 1644.57460.620.000000       1 2 0 1        1 2 0 0                     P 42      336650 1 1 1 1 1 0    83.0   85.0
531 1504.285595 6.774E-27 6.888E-03.10190.121 2068.04520.610.000000       3 0 0 1        3 0 0 0                     P 30      336650 1 1 1 1 1 0    59.0   61.0
531 1504.286861 2.488E-25 6.867E-02.09790.118 1831.96940.590.000000       2 1 1 1        2 1 1 0                     P 35      336650 1 1 1 1 1 0    69.0   71.0
531 1504.336085 3.114E-20 3.410E+02.08270.106 1306.12310.760.000000       0 2 2 1        0 2 2 0                     P 68      335540 1 1 1 1 1 0   135.0  137.0
531 1504.344345 1.123E-20 5.600E+01.07260.090 1236.19240.750.000000       0 0 0 1        0 0 0 0                     P106      464440 1 2 1 1 1 0   211.0  213.0
531 1504.363701 7.206E-21 2.047E+02.08430.109 1486.45170.760.000000       1 1 1 1        1 1 1 0                     P 63      335540 1 1 1 1 1 0   125.0  127.0
531 1504.542561 8.391E-25 6.835E-02.08610.111 1685.94960.740.000000       2 0 0 1        2 0 0 0                     P 58      335540 1 1 1 1 1 0   115.0  117.0
531 1504.546889 2.507E-25 6.872E-02.09870.118 1824.45160.590.000000       2 1 1 1        2 1 1 0                     P 34      336650 1 1 1 1 1 0    67.0   69.0
531 1504.549446 2.098E-21 6.846E+01.09080.114 1454.05560.660.000000       0 3 1 1        0 3 1 0                     P 47      336650 1 1 1 1 1 0    93.0   95.0
531 1504.565711 8.341E-21 9.555E+01.08270.106 1315.36580.760.000000       0 2 0 1        0 2 0 0                     P 68      335540 1 1 1 1 1 0   135.0  137.0
531 1504.597564 1.143E-20 6.817E+01.07720.098 1232.09090.770.000000       0 1 1 1        0 1 1 0                     P 87      335540 1 1 1 1 1 0   173.0  175.0
531 1504.609426 1.829E-22 6.829E+01.08300.107 2029.04250.760.000000       0 0 0 2        0 0 0 1                     P 67      335540 1 1 1 1 1 0   133.0  135.0
531 1504.610286 2.954E-25 6.953E+01.11090.136 3102.86010.680.000000       0 0 0 3        0 0 0 2                     P 20      336650 1 1 1 1 1 0    39.0   41.0
531 1504.613661 2.081E-29 6.970E+01.08690.111 5285.42460.730.000000       3 0 0 3        0 1 1 3                     P 56      335540 1 1 1 1 1 0   111.0  113.0
531 1504.650846 3.298E-20 3.411E+02.08300.107 1291.22030.760.000000       0 2 2 1        0 2 2 0                     P 67      335540 1 1 1 1 1 0   133.0  135.0
531 1504.657387 7.572E-21 2.049E+02.08470.109 1473.04330.750.000000       1 1 1 1        1 1 1 0                     P 62      335540 1 1 1 1 1 0   123.0  125.0
531 1504.800121 6.731E-27 6.903E-03.10370.123 2055.22200.620.000000       3 0 0 1        3 0 0 0                     P 28      336650 1 1 1 1 1 0    55.0   57.0
531 1504.815907 2.156E-21 6.852E+01.09130.114 1444.07540.650.000000       0 3 1 1        0 3 1 0                     P 46      336650 1 1 1 1 1 0    91.0   93.0
531 1504.816873 2.524E-25 6.878E-02.09940.119 1816.92290.590.000000       2 1 1 1        2 1 1 0                     P 33      336650 1 1 1 1 1 0    65.0   67.0
531 1504.832805 3.865E-21 3.433E+02.09460.116 1626.42450.600.000000       1 2 0 1        1 2 0 0                     P 40      336650 1 1 1 1 1 0    79.0   81.0
531 1504.902501 2.153E-20 3.070E+02.07850.100 1399.09760.770.000000       1 0 0 1        1 0 0 0                     P 82      335540 1 1 1 1 1 0   163.0  165.0
531 1504.918448 1.236E-20 6.822E+01.07740.098 1213.67990.770.000000       0 1 1 1        0 1 1 0                     P 86      335540 1 1 1 1 1 0   171.0  173.0
531 1504.961155 3.490E-20 3.414E+02.08330.107 1276.57470.760.000000       0 2 2 1        0 2 2 0                     P 66      335540 1 1 1 1 1 0   131.0  133.0
531 1504.973058 7.971E-21 2.051E+02.08500.109 1459.18170.750.000000       1 1 1 1        1 1 1 0                     P 61      335540 1 1 1 1 1 0   121.0  123.0
